name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
The How Not To Die Cookbook,Michael Greger,1,4.0,16.29,$,21.1,9781529010817,1,dataset/Medical/0000105.jpg
Highly Sensitive Child,Elaine N. Aron,1,4.0,12.92,$,19.6,9780767908726,1,dataset/Medical/0000107.jpg
The 4 Pillar Plan,Dr. Rangan Chatterjee,1,4.5,18.77,$,21.1,9780241303559,1,dataset/Medical/0000108.jpg
Into the Magic Shop,Dr. James R. Doty,1,4.0,12.47,$,21.1,9781444786187,1,dataset/Medical/0000109.jpg
Schema Therapy,Jeffrey E. Young,1,4.5,34.25,$,47.3,9781593853723,1,dataset/Medical/0000110.jpg
The Body Remembers,Babette Rothschild,2,4.5,28.58,$,32.6,9780393703276,1,dataset/Medical/0000111.jpg
The Undiscovered Self,C G Jung,1,4.0,6.38,$,8.3,9780451217325,1,dataset/Medical/0000112.jpg
Desk Reference to the Diagnostic Criteria from DSM-5,American Psychiatric Association,1,4.0,55.56,$,79.7,9780890425565,1,dataset/Medical/0000113.jpg
When My Worries Get Too Big!,Kari Dunn Buron,1,4.0,12.74,$,19.57,9781937473808,1,dataset/Medical/0000114.jpg
"Mind Over Mood, Second Edition",Dennis Greenberger,1,4.0,21.35,$,24.0,9781462520428,1,dataset/Medical/0000115.jpg
ACT Made Simple,Russ Harris,1,4.5,30.5,$,43.0,9781684033010,1,dataset/Medical/0000116.jpg
Dibs in Search of Self,Virginia M. Axline,1,4.0,6.72,$,8.3,9780345339256,1,dataset/Medical/0000117.jpg
We Should All Be Feminists,Chimamanda Ngozi Adichie,1,4.5,6.98,$,9.3,9781101911761,1,dataset/Medical/0000118.jpg
The Heal Your Gut Cookbook,Hillary Boynton,1,4.0,21.43,$,27.0,9781603585613,1,dataset/Medical/0000119.jpg
On Becoming a Person,Carl Rogers,1,4.0,11.16,$,16.0,9781845290573,1,dataset/Medical/0000120.jpg
"Ayurveda, the Science of Self-healing: A Practical Guide",Vasant Lad,1,4.0,10.02,$,13.0,9780914955009,1,dataset/Medical/0000121.jpg
The Mindful Path to Self-Compassion,Christopher Germer,1,4.0,15.41,$,16.0,9781593859756,1,dataset/Medical/0000122.jpg
Mindsight,Daniel J Siegel,1,4.0,13.8,$,17.0,9780553386394,1,dataset/Medical/0000123.jpg
Get Out of Your Mind and into Your Life,Steven C. Hayes,1,4.0,15.42,$,22.0,9781572244252,1,dataset/Medical/0000125.jpg
Sweet Poison,David Gillespie,1,4.0,8.82,$,11.4,9780718179076,1,dataset/Medical/0000126.jpg
When the Body Says No,Gabor Mate,1,4.5,15.82,$,17.99,9780470923351,1,dataset/Medical/0000127.jpg
Listening to the Animals: Becoming The Supervet,Noel Fitzpatrick,2,4.5,17.34,$,24.0,9781409183747,1,dataset/Medical/0000128.jpg
Dmt : the Spririt Molecule,Rick Strassman M D,1,4.0,14.0,$,19.1,9780892819270,1,dataset/Medical/0000129.jpg
